"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1990",2.223,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1991",2.212,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1992",2.222,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1993",2.317,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1994",2.195,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1995",2.243,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1996",2.265,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1997",2.374,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1998",2.727,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1999",2.679,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2000",2.468,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2001",2.569,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2002",2.606,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2003",2.661,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2004",2.611,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2005",2.586,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2006",2.586,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2007",2.642,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2008",2.675,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2009",2.846,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2010",2.831,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2011",2.864,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2012",2.806,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2013",2.844,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2014",2.86,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2015",2.777,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2016",2.766,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2017",2.744,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2018",2.725,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2019",2.771,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1980",0.627,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1981",0.552,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1982",0.565,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1983",0.601,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1984",0.549,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1985",0.516,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1986",0.537,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1987",0.578,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1988",0.626,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1989",0.754,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1990",0.896,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1991",0.923,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1992",0.857,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1993",0.731,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1994",0.34,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1995",0.242,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1996",0.813,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1997",0.763,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1998",0.664,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","1999",0.722,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2000",0.118,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2001",0.13,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2002",0.149,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2003",0.141,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2004",0.146,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2005",0.155,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2006",0.159,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2007",0.173,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2008",0.135,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2009",0.16,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2010",0.149,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2011",0.168,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2012",0.187,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2013",0.191,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2014",0.188,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2015",0.195,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2016",0.22,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2017",0.217,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2018",0.199,
"TUR","FAMPUBEXP","INCASH","PC_GDP","A","2019",0.197,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1980",0.458,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1981",0.392,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1982",0.38,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1983",0.331,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1984",0.296,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1985",0.255,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1986",0.21,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1987",0.177,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1988",0.162,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1989",0.15,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1990",0.311,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1991",0.296,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1992",0.391,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1993",0.413,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1994",0.401,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1995",0.403,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1996",0.472,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1997",0.455,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1998",0.802,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1999",0.79,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2000",0.942,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2001",0.892,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2002",0.905,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2003",1.053,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2004",1.082,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2005",1.159,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2006",1.181,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2007",1.228,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2008",1.332,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2009",1.487,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2010",1.425,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2011",1.341,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2012",1.305,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2013",1.312,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2014",1.276,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2015",1.238,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2016",1.207,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2017",1.205,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2018",1.224,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2019",1.274,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1980",1.69,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1981",1.81,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1982",1.866,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1983",1.762,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1984",1.675,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1985",1.668,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1986",1.669,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1987",1.745,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1988",1.814,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1989",1.779,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1990",1.809,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1991",1.867,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1992",1.923,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1993",2.054,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1994",2.067,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1995",1.965,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1996",2.036,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1997",2.094,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1998",1.945,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","1999",1.98,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2000",1.942,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2001",2.008,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2002",2.064,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2003",2.085,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2004",2.008,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2005",1.989,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2006",2.001,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2007",2.188,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2008",2.237,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2009",2.439,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2010",2.33,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2011",2.42,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2012",2.389,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2013",2.333,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2014",2.241,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2015",2.166,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2016",2.124,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2017",2.087,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2018",2.08,
"DNK","FAMPUBEXP","INKIND","PC_GDP","A","2019",2.044,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1980",1.961,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1981",2.423,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1982",2.458,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1983",2.404,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1984",2.343,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1985",2.289,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1986",2.216,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1987",2.167,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1988",2.134,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1989",1.956,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1990",1.431,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1991",1.43,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1992",1.428,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1993",1.469,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1994",1.469,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1995",1.499,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1996",1.543,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1997",1.584,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1998",1.494,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","1999",1.493,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2000",1.436,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2001",1.417,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2002",1.427,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2003",1.415,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2004",1.368,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2005",1.353,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2006",1.692,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2007",1.633,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2008",1.6,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2009",1.698,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2010",1.611,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2011",1.56,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2012",1.575,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2013",1.579,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2014",1.568,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2015",1.5,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2016",1.458,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2017",1.422,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2018",1.387,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2019",1.336,
"FRA","FAMPUBEXP","INCASH","PC_GDP","A","2020",1.514,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","1995",0,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","1996",0,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","1997",0.012,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","1998",0.071,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","1999",0.12,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2000",0.143,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2001",0.175,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2002",0.228,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2003",0.284,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2004",0.291,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2005",0.325,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2006",0.315,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2007",0.317,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2008",0.338,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2009",0.384,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2010",0.43,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2011",0.403,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2012",0.421,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2013",0.393,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2014",0.39,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2015",0.44,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2016",0.46,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2017",0.338,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2018",0.317,
"MEX","FAMPUBEXP","INCASH","PC_GDP","A","2019",0.1,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1990",0.03,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1991",0.037,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1992",0.04,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1993",0.049,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1994",0.05,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1995",0.06,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1996",0.069,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1997",0.079,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1998",0.102,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","1999",0.09,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2000",0.102,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2001",0.133,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2002",0.13,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2003",0.151,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2004",0.182,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2005",0.223,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2006",0.473,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2007",0.417,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2008",0.541,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2009",0.649,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2010",0.669,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2011",0.673,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2012",0.833,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2013",1.143,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2014",1.123,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2015",1.127,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2016",1.102,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2017",1.103,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2018",1.18,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2019",1.374,
"KOR","FAMPUBEXP","TOT","PC_GDP","A","2020",1.547,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1980",3.463,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1981",3.585,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1982",3.393,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1983",3.538,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1984",3.444,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1985",3.655,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1986",3.672,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1987",3.74,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1988",3.75,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1989",3.635,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1990",3.976,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1991",4.337,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1992",4.392,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1993",4.165,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1994",4.088,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1995",3.58,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1996",3.306,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1997",3.084,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1998",3.075,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","1999",3.005,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2000",2.775,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2001",2.909,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2002",3.057,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2003",3.111,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2004",3.1,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2005",3.129,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2006",3.217,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2007",3.175,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2008",3.302,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2009",3.481,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2010",3.374,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2011",3.372,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2012",3.492,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2013",3.544,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2014",3.54,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2015",3.457,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2016",3.495,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2017",3.384,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2018",3.464,
"SWE","FAMPUBEXP","TOT","PC_GDP","A","2019",3.421,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1980",1.537,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1981",1.582,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1982",1.494,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1983",1.478,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1984",1.386,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1985",1.327,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1986",1.391,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1987",1.376,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1988",1.303,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1989",1.476,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1990",1.644,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1991",1.648,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1992",1.697,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1993",2.019,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1994",2.147,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1995",2.182,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1996",2.168,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1997",2.11,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1998",2.357,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","1999",2.472,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2000",2.537,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2001",2.588,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2002",2.857,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2003",3.234,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2004",3.151,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2005",3.05,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2006",2.835,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2007",2.652,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2008",3.223,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2009",3.362,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2010",3.123,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2011",2.826,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2012",2.701,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2013",2.579,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2014",2.509,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2015",2.412,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2016",2.284,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2017",2.3,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2018",2.336,
"LUX","FAMPUBEXP","INCASH","PC_GDP","A","2019",2.304,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1980",0.912,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1981",0.891,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1982",0.884,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1983",0.9,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1984",0.885,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1985",0.875,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1986",0.876,
"CHE","FAMPUBEXP","INCASH","PC_GDP","A","1987",0.884,
