,COU,Country,IND,Indicator,SEX,TIME,Time,Value
24,AUS,Australia,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1990,1990,0.0
25,AUS,Australia,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1995,1995,0.0
26,AUS,Australia,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2000,2000,0.0
27,AUS,Australia,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2005,2005,0.0
28,AUS,Australia,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2010,2010,0.0
29,AUS,Australia,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2011,2011,18.0
30,AUS,Australia,EMP18_PAT,Length of paid father-specific leave,MEN,1970,1970,0.0
31,AUS,Australia,EMP18_PAT,Length of paid father-specific leave,MEN,1975,1975,0.0
32,AUS,Australia,EMP18_PAT,Length of paid father-specific leave,MEN,1980,1980,0.0
33,AUS,Australia,EMP18_PAT,Length of paid father-specific leave,MEN,1985,1985,0.0
34,AUS,Australia,EMP18_PAT,Length of paid father-specific leave,MEN,1990,1990,0.0
35,AUS,Australia,EMP18_PAT,Length of paid father-specific leave,MEN,1995,1995,0.0
36,AUS,Australia,EMP18_PAT,Length of paid father-specific leave,MEN,2000,2000,0.0
37,AUS,Australia,EMP18_PAT,Length of paid father-specific leave,MEN,2005,2005,0.0
38,AUS,Australia,EMP18_PAT,Length of paid father-specific leave,MEN,2010,2010,0.0
39,AUS,Australia,EMP18_PAT,Length of paid father-specific leave,MEN,2011,2011,0.0
40,AUT,Austria,EMP18_MAT,Length of maternity leave,WOMEN,1970,1970,12.0
41,AUT,Austria,EMP18_MAT,Length of maternity leave,WOMEN,1975,1975,16.0
42,AUT,Austria,EMP18_MAT,Length of maternity leave,WOMEN,1980,1980,16.0
43,AUT,Austria,EMP18_MAT,Length of maternity leave,WOMEN,1985,1985,16.0
44,AUT,Austria,EMP18_MAT,Length of maternity leave,WOMEN,1990,1990,16.0
45,AUT,Austria,EMP18_MAT,Length of maternity leave,WOMEN,1995,1995,16.0
46,AUT,Austria,EMP18_MAT,Length of maternity leave,WOMEN,2000,2000,16.0
47,AUT,Austria,EMP18_MAT,Length of maternity leave,WOMEN,2005,2005,16.0
48,AUT,Austria,EMP18_MAT,Length of maternity leave,WOMEN,2010,2010,16.0
49,AUT,Austria,EMP18_MAT,Length of maternity leave,WOMEN,2011,2011,16.0
50,AUT,Austria,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1970,1970,46.0
51,AUT,Austria,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1975,1975,44.0
52,AUT,Austria,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1980,1980,44.0
53,AUT,Austria,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1985,1985,44.0
54,AUT,Austria,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1990,1990,44.0
55,AUT,Austria,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1995,1995,96.0
56,AUT,Austria,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2000,2000,70.0
57,AUT,Austria,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2005,2005,70.0
58,AUT,Austria,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2010,2010,87.3
59,AUT,Austria,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2011,2011,87.3
60,AUT,Austria,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1970,1970,58.0
61,AUT,Austria,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1975,1975,60.0
62,AUT,Austria,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1980,1980,60.0
63,AUT,Austria,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1985,1985,60.0
64,AUT,Austria,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1990,1990,60.0
65,AUT,Austria,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1995,1995,112.0
66,AUT,Austria,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2000,2000,86.0
67,AUT,Austria,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2005,2005,138.0
68,AUT,Austria,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2010,2010,60.0
69,AUT,Austria,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2011,2011,60.0
70,AUT,Austria,EMP18_PAT,Length of paid father-specific leave,MEN,1970,1970,0.0
71,AUT,Austria,EMP18_PAT,Length of paid father-specific leave,MEN,1975,1975,0.0
72,AUT,Austria,EMP18_PAT,Length of paid father-specific leave,MEN,1980,1980,0.0
73,AUT,Austria,EMP18_PAT,Length of paid father-specific leave,MEN,1985,1985,0.0
74,AUT,Austria,EMP18_PAT,Length of paid father-specific leave,MEN,1990,1990,0.0
75,AUT,Austria,EMP18_PAT,Length of paid father-specific leave,MEN,1995,1995,0.0
76,AUT,Austria,EMP18_PAT,Length of paid father-specific leave,MEN,2000,2000,26.0
77,AUT,Austria,EMP18_PAT,Length of paid father-specific leave,MEN,2005,2005,26.0
78,AUT,Austria,EMP18_PAT,Length of paid father-specific leave,MEN,2010,2010,8.7
79,AUT,Austria,EMP18_PAT,Length of paid father-specific leave,MEN,2011,2011,8.7
80,BEL,Belgium,EMP18_MAT,Length of maternity leave,WOMEN,1970,1970,14.0
81,BEL,Belgium,EMP18_MAT,Length of maternity leave,WOMEN,1975,1975,14.0
82,BEL,Belgium,EMP18_MAT,Length of maternity leave,WOMEN,1980,1980,14.0
83,BEL,Belgium,EMP18_MAT,Length of maternity leave,WOMEN,1985,1985,14.0
84,BEL,Belgium,EMP18_MAT,Length of maternity leave,WOMEN,1990,1990,14.0
85,BEL,Belgium,EMP18_MAT,Length of maternity leave,WOMEN,1995,1995,15.0
86,BEL,Belgium,EMP18_MAT,Length of maternity leave,WOMEN,2000,2000,15.0
87,BEL,Belgium,EMP18_MAT,Length of maternity leave,WOMEN,2005,2005,15.0
88,BEL,Belgium,EMP18_MAT,Length of maternity leave,WOMEN,2010,2010,15.0
89,BEL,Belgium,EMP18_MAT,Length of maternity leave,WOMEN,2011,2011,15.0
90,BEL,Belgium,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1970,1970,0.0
91,BEL,Belgium,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1975,1975,0.0
92,BEL,Belgium,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1980,1980,0.0
93,BEL,Belgium,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1985,1985,0.0
94,BEL,Belgium,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1990,1990,0.0
95,BEL,Belgium,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1995,1995,0.0
96,BEL,Belgium,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2000,2000,13.0
97,BEL,Belgium,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2005,2005,13.0
98,BEL,Belgium,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2010,2010,13.0
99,BEL,Belgium,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2011,2011,13.0
100,BEL,Belgium,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1970,1970,14.0
101,BEL,Belgium,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1975,1975,14.0
102,BEL,Belgium,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1980,1980,14.0
103,BEL,Belgium,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1985,1985,14.0
104,BEL,Belgium,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1990,1990,14.0
105,BEL,Belgium,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1995,1995,15.0
106,BEL,Belgium,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2000,2000,28.0
107,BEL,Belgium,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2005,2005,28.0
108,BEL,Belgium,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2010,2010,28.0
109,BEL,Belgium,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2011,2011,28.0
110,BEL,Belgium,EMP18_PAT,Length of paid father-specific leave,MEN,1970,1970,0.6
111,BEL,Belgium,EMP18_PAT,Length of paid father-specific leave,MEN,1975,1975,0.6
112,BEL,Belgium,EMP18_PAT,Length of paid father-specific leave,MEN,1980,1980,0.6
113,BEL,Belgium,EMP18_PAT,Length of paid father-specific leave,MEN,1985,1985,0.6
114,BEL,Belgium,EMP18_PAT,Length of paid father-specific leave,MEN,1990,1990,0.6
115,BEL,Belgium,EMP18_PAT,Length of paid father-specific leave,MEN,1995,1995,0.6
116,BEL,Belgium,EMP18_PAT,Length of paid father-specific leave,MEN,2000,2000,13.6
117,BEL,Belgium,EMP18_PAT,Length of paid father-specific leave,MEN,2005,2005,15.0
118,BEL,Belgium,EMP18_PAT,Length of paid father-specific leave,MEN,2010,2010,15.0
119,BEL,Belgium,EMP18_PAT,Length of paid father-specific leave,MEN,2011,2011,15.0
120,CAN,Canada,EMP18_MAT,Length of maternity leave,WOMEN,1970,1970,0.0
121,CAN,Canada,EMP18_MAT,Length of maternity leave,WOMEN,1975,1975,17.0
122,CAN,Canada,EMP18_MAT,Length of maternity leave,WOMEN,1980,1980,17.0
123,CAN,Canada,EMP18_MAT,Length of maternity leave,WOMEN,1985,1985,17.0
124,CAN,Canada,EMP18_MAT,Length of maternity leave,WOMEN,1990,1990,17.0
125,CAN,Canada,EMP18_MAT,Length of maternity leave,WOMEN,1995,1995,17.0
126,CAN,Canada,EMP18_MAT,Length of maternity leave,WOMEN,2000,2000,17.0
127,CAN,Canada,EMP18_MAT,Length of maternity leave,WOMEN,2005,2005,17.0
128,CAN,Canada,EMP18_MAT,Length of maternity leave,WOMEN,2010,2010,17.0
129,CAN,Canada,EMP18_MAT,Length of maternity leave,WOMEN,2011,2011,17.0
130,CAN,Canada,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1970,1970,0.0
131,CAN,Canada,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1975,1975,0.0
132,CAN,Canada,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1980,1980,0.0
133,CAN,Canada,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1985,1985,0.0
134,CAN,Canada,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1990,1990,0.0
135,CAN,Canada,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1995,1995,10.0
136,CAN,Canada,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2000,2000,10.0
137,CAN,Canada,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2005,2005,35.0
138,CAN,Canada,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2010,2010,35.0
139,CAN,Canada,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2011,2011,35.0
140,CAN,Canada,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1970,1970,0.0
141,CAN,Canada,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1975,1975,15.0
142,CAN,Canada,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1980,1980,17.0
143,CAN,Canada,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1985,1985,17.0
144,CAN,Canada,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1990,1990,17.0
145,CAN,Canada,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1995,1995,27.0
146,CAN,Canada,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2000,2000,27.0
147,CAN,Canada,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2005,2005,52.0
148,CAN,Canada,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2010,2010,52.0
149,CAN,Canada,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2011,2011,52.0
150,CAN,Canada,EMP18_PAT,Length of paid father-specific leave,MEN,1970,1970,0.0
151,CAN,Canada,EMP18_PAT,Length of paid father-specific leave,MEN,1975,1975,0.0
152,CAN,Canada,EMP18_PAT,Length of paid father-specific leave,MEN,1980,1980,0.0
153,CAN,Canada,EMP18_PAT,Length of paid father-specific leave,MEN,1985,1985,0.0
154,CAN,Canada,EMP18_PAT,Length of paid father-specific leave,MEN,1990,1990,0.0
155,CAN,Canada,EMP18_PAT,Length of paid father-specific leave,MEN,1995,1995,0.0
156,CAN,Canada,EMP18_PAT,Length of paid father-specific leave,MEN,2000,2000,0.0
157,CAN,Canada,EMP18_PAT,Length of paid father-specific leave,MEN,2005,2005,0.0
158,CAN,Canada,EMP18_PAT,Length of paid father-specific leave,MEN,2010,2010,0.0
159,CAN,Canada,EMP18_PAT,Length of paid father-specific leave,MEN,2011,2011,0.0
160,CZE,Czech Republic,EMP18_MAT,Length of maternity leave,WOMEN,1970,1970,26.0
161,CZE,Czech Republic,EMP18_MAT,Length of maternity leave,WOMEN,1975,1975,26.0
162,CZE,Czech Republic,EMP18_MAT,Length of maternity leave,WOMEN,1980,1980,26.0
163,CZE,Czech Republic,EMP18_MAT,Length of maternity leave,WOMEN,1985,1985,26.0
164,CZE,Czech Republic,EMP18_MAT,Length of maternity leave,WOMEN,1990,1990,28.0
165,CZE,Czech Republic,EMP18_MAT,Length of maternity leave,WOMEN,1995,1995,28.0
166,CZE,Czech Republic,EMP18_MAT,Length of maternity leave,WOMEN,2000,2000,28.0
167,CZE,Czech Republic,EMP18_MAT,Length of maternity leave,WOMEN,2005,2005,28.0
168,CZE,Czech Republic,EMP18_MAT,Length of maternity leave,WOMEN,2010,2010,28.0
169,CZE,Czech Republic,EMP18_MAT,Length of maternity leave,WOMEN,2011,2011,28.0
170,CZE,Czech Republic,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1970,1970,86.0
171,CZE,Czech Republic,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1975,1975,86.0
172,CZE,Czech Republic,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1980,1980,86.0
173,CZE,Czech Republic,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1985,1985,86.0
174,CZE,Czech Republic,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1990,1990,136.0
175,CZE,Czech Republic,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1995,1995,136.0
176,CZE,Czech Republic,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2000,2000,136.0
177,CZE,Czech Republic,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2005,2005,136.0
178,CZE,Czech Republic,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2010,2010,136.0
179,CZE,Czech Republic,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2011,2011,136.0
180,CZE,Czech Republic,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1970,1970,26.0
181,CZE,Czech Republic,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1975,1975,26.0
182,CZE,Czech Republic,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1980,1980,26.0
183,CZE,Czech Republic,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1985,1985,78.0
184,CZE,Czech Republic,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1990,1990,162.0
185,CZE,Czech Republic,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1995,1995,162.0
186,CZE,Czech Republic,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2000,2000,214.0
187,CZE,Czech Republic,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2005,2005,214.0
188,CZE,Czech Republic,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2010,2010,110.0
189,CZE,Czech Republic,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2011,2011,110.0
190,CZE,Czech Republic,EMP18_PAT,Length of paid father-specific leave,MEN,1970,1970,0.0
191,CZE,Czech Republic,EMP18_PAT,Length of paid father-specific leave,MEN,1975,1975,0.0
192,CZE,Czech Republic,EMP18_PAT,Length of paid father-specific leave,MEN,1980,1980,0.0
193,CZE,Czech Republic,EMP18_PAT,Length of paid father-specific leave,MEN,1985,1985,0.0
194,CZE,Czech Republic,EMP18_PAT,Length of paid father-specific leave,MEN,1990,1990,0.0
195,CZE,Czech Republic,EMP18_PAT,Length of paid father-specific leave,MEN,1995,1995,0.0
196,CZE,Czech Republic,EMP18_PAT,Length of paid father-specific leave,MEN,2000,2000,0.0
197,CZE,Czech Republic,EMP18_PAT,Length of paid father-specific leave,MEN,2005,2005,0.0
198,CZE,Czech Republic,EMP18_PAT,Length of paid father-specific leave,MEN,2010,2010,0.0
199,CZE,Czech Republic,EMP18_PAT,Length of paid father-specific leave,MEN,2011,2011,0.0
200,DNK,Denmark,EMP18_MAT,Length of maternity leave,WOMEN,1970,1970,14.0
201,DNK,Denmark,EMP18_MAT,Length of maternity leave,WOMEN,1975,1975,14.0
202,DNK,Denmark,EMP18_MAT,Length of maternity leave,WOMEN,1980,1980,18.0
203,DNK,Denmark,EMP18_MAT,Length of maternity leave,WOMEN,1985,1985,18.0
204,DNK,Denmark,EMP18_MAT,Length of maternity leave,WOMEN,1990,1990,18.0
205,DNK,Denmark,EMP18_MAT,Length of maternity leave,WOMEN,1995,1995,18.0
206,DNK,Denmark,EMP18_MAT,Length of maternity leave,WOMEN,2000,2000,18.0
207,DNK,Denmark,EMP18_MAT,Length of maternity leave,WOMEN,2005,2005,18.0
208,DNK,Denmark,EMP18_MAT,Length of maternity leave,WOMEN,2010,2010,18.0
209,DNK,Denmark,EMP18_MAT,Length of maternity leave,WOMEN,2011,2011,18.0
210,DNK,Denmark,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1970,1970,0.0
211,DNK,Denmark,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1975,1975,0.0
212,DNK,Denmark,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1980,1980,0.0
213,DNK,Denmark,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1985,1985,0.0
214,DNK,Denmark,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1990,1990,10.0
215,DNK,Denmark,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1995,1995,36.0
216,DNK,Denmark,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2000,2000,36.0
217,DNK,Denmark,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2005,2005,32.0
218,DNK,Denmark,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2010,2010,32.0
219,DNK,Denmark,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2011,2011,32.0
220,DNK,Denmark,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1970,1970,14.0
221,DNK,Denmark,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1975,1975,14.0
222,DNK,Denmark,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1980,1980,18.0
223,DNK,Denmark,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1985,1985,18.0
224,DNK,Denmark,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1990,1990,28.0
225,DNK,Denmark,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1995,1995,54.0
226,DNK,Denmark,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2000,2000,54.0
227,DNK,Denmark,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2005,2005,50.0
228,DNK,Denmark,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2010,2010,50.0
229,DNK,Denmark,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2011,2011,50.0
230,DNK,Denmark,EMP18_PAT,Length of paid father-specific leave,MEN,1970,1970,0.0
231,DNK,Denmark,EMP18_PAT,Length of paid father-specific leave,MEN,1975,1975,0.0
232,DNK,Denmark,EMP18_PAT,Length of paid father-specific leave,MEN,1980,1980,0.0
233,DNK,Denmark,EMP18_PAT,Length of paid father-specific leave,MEN,1985,1985,2.0
234,DNK,Denmark,EMP18_PAT,Length of paid father-specific leave,MEN,1990,1990,2.0
235,DNK,Denmark,EMP18_PAT,Length of paid father-specific leave,MEN,1995,1995,15.0
236,DNK,Denmark,EMP18_PAT,Length of paid father-specific leave,MEN,2000,2000,17.0
237,DNK,Denmark,EMP18_PAT,Length of paid father-specific leave,MEN,2005,2005,2.0
238,DNK,Denmark,EMP18_PAT,Length of paid father-specific leave,MEN,2010,2010,2.0
239,DNK,Denmark,EMP18_PAT,Length of paid father-specific leave,MEN,2011,2011,2.0
240,FIN,Finland,EMP18_MAT,Length of maternity leave,WOMEN,1970,1970,9.0
241,FIN,Finland,EMP18_MAT,Length of maternity leave,WOMEN,1975,1975,29.0
242,FIN,Finland,EMP18_MAT,Length of maternity leave,WOMEN,1980,1980,33.0
243,FIN,Finland,EMP18_MAT,Length of maternity leave,WOMEN,1985,1985,16.7
244,FIN,Finland,EMP18_MAT,Length of maternity leave,WOMEN,1990,1990,17.5
245,FIN,Finland,EMP18_MAT,Length of maternity leave,WOMEN,1995,1995,17.5
246,FIN,Finland,EMP18_MAT,Length of maternity leave,WOMEN,2000,2000,17.5
247,FIN,Finland,EMP18_MAT,Length of maternity leave,WOMEN,2005,2005,17.5
248,FIN,Finland,EMP18_MAT,Length of maternity leave,WOMEN,2010,2010,17.5
249,FIN,Finland,EMP18_MAT,Length of maternity leave,WOMEN,2011,2011,17.5
250,FIN,Finland,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1970,1970,0.0
251,FIN,Finland,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1975,1975,0.0
252,FIN,Finland,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1980,1980,4.0
253,FIN,Finland,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1985,1985,142.4
254,FIN,Finland,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1990,1990,141.5
255,FIN,Finland,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1995,1995,143.5
256,FIN,Finland,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2000,2000,143.5
257,FIN,Finland,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2005,2005,141.5
258,FIN,Finland,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2010,2010,141.5
259,FIN,Finland,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2011,2011,141.5
260,FIN,Finland,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1970,1970,9.0
261,FIN,Finland,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1975,1975,29.0
262,FIN,Finland,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1980,1980,37.0
263,FIN,Finland,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1985,1985,159.0
264,FIN,Finland,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1990,1990,159.0
265,FIN,Finland,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1995,1995,161.0
266,FIN,Finland,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2000,2000,161.0
267,FIN,Finland,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2005,2005,159.0
268,FIN,Finland,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2010,2010,159.0
269,FIN,Finland,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,2011,2011,159.0
270,FIN,Finland,EMP18_PAT,Length of paid father-specific leave,MEN,1970,1970,0.0
271,FIN,Finland,EMP18_PAT,Length of paid father-specific leave,MEN,1975,1975,0.0
272,FIN,Finland,EMP18_PAT,Length of paid father-specific leave,MEN,1980,1980,0.0
273,FIN,Finland,EMP18_PAT,Length of paid father-specific leave,MEN,1985,1985,0.0
274,FIN,Finland,EMP18_PAT,Length of paid father-specific leave,MEN,1990,1990,0.0
275,FIN,Finland,EMP18_PAT,Length of paid father-specific leave,MEN,1995,1995,3.0
276,FIN,Finland,EMP18_PAT,Length of paid father-specific leave,MEN,2000,2000,3.0
277,FIN,Finland,EMP18_PAT,Length of paid father-specific leave,MEN,2005,2005,7.0
278,FIN,Finland,EMP18_PAT,Length of paid father-specific leave,MEN,2010,2010,7.0
279,FIN,Finland,EMP18_PAT,Length of paid father-specific leave,MEN,2011,2011,9.0
280,FRA,France,EMP18_MAT,Length of maternity leave,WOMEN,1970,1970,14.0
281,FRA,France,EMP18_MAT,Length of maternity leave,WOMEN,1975,1975,14.0
